Nº GREVE,DATA ENTRADA,SINDICATO,EMPREGADOR,CAE,NIF,SETOR,DIAS,DURAÇÃO,OBSERVAÇÕES,ANO,MÊS
DSRPN,09-Jan-15,STIANOR,"Avipronto - Produtos Alimentares, S.A.",,,Privado,,Total + de 1 dia,,2015,1
DSRPL,30-Jan-15,SJPF - SINDICATO DOS JOGADORES PROFISSIONAIS DE FUTEBOL,SPORTING CLUBE OLHANENSE SAD,,,Privado,,Total + de 1 dia,,2015,1
DSRPL,28-Jan-15,FECTRANS,TST TRANSPORTES SUL DO TEJO S.A.,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,27-Jan-15,"SINDICATO DOS TRABALHADORES DA CONSTRUÇÃO, MADEIRAS, MÁRMORES E CORTIÇAS DO SUL",GRANITOS DE MACEIRA S.A.,,,Privado,,Total 1 dia,,2015,1
DSRPL,26-Jan-15,SIESI,MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,,,Privado,,Total 1 dia,,2015,1
DSRPL,23-Jan-15,SINDITE,ÂMBITO ESTATURIO ,,,Setor Empresarial Estado,,Total + de 1 dia,,2015,1
DSRPL,30-Jan-15,STSS - SINDICATO NACIONAL DOS TÉCNICOS SUPERIORES DE SAÚDE DAS ÁREAS DE DIAGNÓSTICO E TERAPÊUTICA,ÂMBITO ESTATUTÁRIO,,,Setor Empresarial Estado,,Total + de 1 dia,,2015,1
DSRPL,13-Jan-15,STAD,CONCIERGE (HOSPITAL FORÇAS ARMADAS),747,,Setor Empresarial Estado,,Total + de 1 dia,DESCONVOCADA,2015,1
DSRPL,22-Jan-15,SNTAJP (PORTUARIAS),PORTOS DOS AÇORES E CONTINENTE,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES - ,2015,1
DSRPL,22-Jan-15,SNTSF - SINDICATO NACIONAL DOS TRABALHADORES DO SECTOR FERROVIÁRIO,EMEF ,,,Setor Empresarial Estado,,Total + de 1 dia,,2015,1
DSRPL,22-Jan-15,FECTRANS,CARRISBUS,,,Setor Empresarial Estado,,Total 1 dia,,2015,1
DSRPL,19-Jan-15,SITRA,CARRIS FERRO DE LISBOA,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,19-Jan-15,SITAVA,SPDH ,,,Setor Empresarial Estado,,Total 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,16-Jan-15,SITRENS,CP EPE E CP CARGA S.A.,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,16-Jan-15,SNTSF - SINDICATO NACIONAL DOS TRABALHADORES DO SECTOR FERROVIÁRIO,CP EPE,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,13-Jan-15,FECTRANS,CARRIS FERRO DE LISBOA,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,12-Jan-15,SITE-CSRA,VADECA AMBIEMTE,,,Privado,,Total + de 1 dia,,2015,1
DSRPL,19-Jan-15,STAD,"CENTRO HOSPITALAR MÉDIO TEJO (HOSPITAIS ABRANTES,TORRES NOVAS E TOMAR)",,,Setor Empresarial Estado,,Total 1 dia,,2015,1
DSRPL,08-Jan-15,SITE-CSRA,VADECA AMBIEMTE (HOSPITAL TOMAR),,,Privado,,Total + de 1 dia,,2015,1
DSRPL,08-Jan-15,SINDICATO DOS TRABALHADORES DE ESPECTÁCULOS,"OPART, EPE",,,Setor Empresarial Estado,,Por tempo indeterminado,,2015,1
DSRPL,07-Jan-15,SITE-CSRA,CODAN PORTUAGAL,,,Privado,,Total + de 1 dia,,2015,1
DSRPL,07-Jan-15,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE",SOFLUSA ,,,Setor Empresarial Estado,,Total + de 1 dia,SETOR TRANSPORTES,2015,1
DSRPL,07-Jan-15,SNTSF - SINDICATO NACIONAL DOS TRABALHADORES DO SECTOR FERROVIÁRIO,EMEF ,,,Setor Empresarial Estado,,Total + de 1 dia,,2015,1
DSRPL,07-Jan-15,STAD,VADECA (MUSEU DO ORIENTE),,,Privado,,Total 1 dia,,2015,1
DSRPL,06-Jan-15,SINTTAV,PT PORTUGAL,,,Privado,,Total 1 dia,,2015,1
DSRPL,07-Jan-15,SINTTAV,ANACOM,,,Setor Empresarial Estado,,Trabalho suplementar/Feriado,DESCONVOCADA,2015,1
DSRPL,27-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,22-Jan-15,SINTTAV,EMPRESAS GRUPO PT - CALL CENTER,,,Privado,,Parcial 1 dia,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
DSRPL,,SINTTAV,ÂMBITO ESTATUTÁRIO,,,Privado,,,,2015,1
